crdc_id,year,ncessch,leaid,fips,disability,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances
370162000692,2017,370162000692,3701620,37,2,-1.000,0.000,-1.000,-1.000
370472001902,2017,370472001902,3704720,37,1,-2.000,64.000,-1.000,-1.000
370268002163,2017,370268002163,3702680,37,99,0.000,12.000,-1.000,-1.000
370297002198,2017,370297002198,3702970,37,2,-1.000,0.000,-1.000,-1.000
370345001427,2017,370345001427,3703450,37,2,-1.000,0.000,-1.000,-1.000
370231002302,2017,370231002302,3702310,37,2,-1.000,3.000,-1.000,-1.000
370038103322,2017,370038103322,3700381,37,1,-2.000,2.000,-1.000,-1.000
370001100399,2017,370001100399,3700011,37,1,-2.000,93.000,-1.000,-1.000
370441002903,2017,370441002903,3704410,37,2,-1.000,0.000,-1.000,-1.000
370195000863,2017,370195000863,3701950,37,0,-1.000,13.000,-1.000,-1.000
370001100442,2017,370001100442,3700011,37,4,-1.000,-1.000,-1.000,-1.000
370027000070,2017,370027000070,3700270,37,4,-1.000,-1.000,-1.000,-1.000
370472003120,2017,370472003120,3704720,37,99,0.000,18.000,-1.000,-1.000
370001201502,2017,370001201502,3700012,37,2,-1.000,2.000,-1.000,-1.000
370438002485,2017,370438002485,3704380,37,2,-1.000,2.000,-1.000,-1.000
370225000806,2017,370225000806,3702250,37,1,0.000,11.000,-1.000,-1.000
370237001022,2017,370237001022,3702370,37,4,-1.000,-1.000,-1.000,-1.000
370001100433,2017,370001100433,3700011,37,1,-2.000,131.000,-1.000,-1.000
370309001317,2017,370309001317,3703090,37,4,-1.000,-1.000,-1.000,-1.000
370480002045,2017,370480002045,3704800,37,4,-1.000,-1.000,-1.000,-1.000
370219000943,2017,370219000943,3702190,37,4,-1.000,-1.000,-1.000,-1.000
370150000647,2017,370150000647,3701500,37,99,-2.000,146.000,-1.000,-1.000
370120000497,2017,370120000497,3701200,37,1,-2.000,24.000,-1.000,-1.000
370495001983,2017,370495001983,3704950,37,2,-1.000,0.000,-1.000,-1.000
370053003384,2017,370053003384,3700530,37,99,-2.000,1.000,-1.000,-1.000
370309001325,2017,370309001325,3703090,37,4,-1.000,-1.000,-1.000,-1.000
370162000684,2017,370162000684,3701620,37,1,0.000,8.000,-1.000,-1.000
370312003140,2017,370312003140,3703120,37,4,-1.000,-1.000,-1.000,-1.000
370192002855,2017,370192002855,3701920,37,1,-2.000,16.000,-1.000,-1.000
370297003175,2017,370297003175,3702970,37,1,-2.000,60.000,-1.000,-1.000
370488003147,2017,370488003147,3704880,37,99,-2.000,348.000,-1.000,-1.000
370237001025,2017,370237001025,3702370,37,0,-1.000,45.000,-1.000,-1.000
370489002116,2017,370489002116,3704890,37,4,-1.000,-1.000,-1.000,-1.000
370333001366,2017,370333001366,3703330,37,0,-1.000,75.000,-1.000,-1.000
370069001364,2017,370069001364,3700690,37,99,-2.000,60.000,-1.000,-1.000
370297001262,2017,370297001262,3702970,37,0,-1.000,20.000,-1.000,-1.000
370162000717,2017,370162000717,3701620,37,0,-1.000,226.000,-1.000,-1.000
370331002177,2017,370331002177,3703310,37,99,-2.000,111.000,-1.000,-1.000
370204000903,2017,370204000903,3702040,37,0,-1.000,9.000,-1.000,-1.000
370300003137,2017,370300003137,3703000,37,99,-2.000,2.000,-1.000,-1.000
370001101097,2017,370001101097,3700011,37,0,-1.000,44.000,-1.000,-1.000
370465001819,2017,370465001819,3704650,37,99,0.000,61.000,-1.000,-1.000
370032503265,2017,370032503265,3700325,37,1,-2.000,0.000,-1.000,-1.000
370011902579,2017,370011902579,3700119,37,4,-1.000,-1.000,-1.000,-1.000
370474003009,2017,370474003009,3704740,37,4,-1.000,-1.000,-1.000,-1.000
370472001905,2017,370472001905,3704720,37,2,-1.000,0.000,-1.000,-1.000
370001103247,2017,370001103247,3700011,37,4,-1.000,-1.000,-1.000,-1.000
370150003144,2017,370150003144,3701500,37,0,-1.000,56.000,-1.000,-1.000
370036303346,2017,370036303346,3700363,37,4,-1.000,-1.000,-1.000,-1.000
370268001125,2017,370268001125,3702680,37,2,-1.000,5.000,-1.000,-1.000
370204000902,2017,370204000902,3702040,37,4,-1.000,-1.000,-1.000,-1.000
370333002822,2017,370333002822,3703330,37,2,-1.000,0.000,-1.000,-1.000
370192000769,2017,370192000769,3701920,37,1,0.000,0.000,-1.000,-1.000
370132000560,2017,370132000560,3701320,37,4,-1.000,-1.000,-1.000,-1.000
370483001934,2017,370483001934,3704830,37,4,-1.000,-1.000,-1.000,-1.000
370192000854,2017,370192000854,3701920,37,0,-1.000,24.000,-1.000,-1.000
370345002599,2017,370345002599,3703450,37,4,-1.000,-1.000,-1.000,-1.000
370297002324,2017,370297002324,3702970,37,0,-1.000,244.000,-1.000,-1.000
370348002645,2017,370348002645,3703480,37,1,-2.000,34.000,-1.000,-1.000
370195002157,2017,370195002157,3701950,37,1,-2.000,21.000,-1.000,-1.000
370472001874,2017,370472001874,3704720,37,99,0.000,49.000,-1.000,-1.000
370002102083,2017,370002102083,3700021,37,99,-2.000,3.000,-1.000,-1.000
370093000352,2017,370093000352,3700930,37,0,-1.000,47.000,-1.000,-1.000
370264001103,2017,370264001103,3702640,37,99,-2.000,0.000,-1.000,-1.000
370297002910,2017,370297002910,3702970,37,1,-2.000,6.000,-1.000,-1.000
370472001874,2017,370472001874,3704720,37,1,0.000,18.000,-1.000,-1.000
370237002780,2017,370237002780,3702370,37,4,-1.000,-1.000,-1.000,-1.000
370488002881,2017,370488002881,3704880,37,99,-2.000,0.000,-1.000,-1.000
370201002630,2017,370201002630,3702010,37,99,-2.000,36.000,-1.000,-1.000
370231003087,2017,370231003087,3702310,37,2,-1.000,0.000,-1.000,-1.000
370472001870,2017,370472001870,3704720,37,0,-1.000,9.000,-1.000,-1.000
370069000282,2017,370069000282,3700690,37,2,-1.000,9.000,-1.000,-1.000
370001202143,2017,370001202143,3700012,37,4,-1.000,-1.000,-1.000,-1.000
370162000673,2017,370162000673,3701620,37,2,-1.000,0.000,-1.000,-1.000
370150000592,2017,370150000592,3701500,37,1,-2.000,93.000,-1.000,-1.000
370195000859,2017,370195000859,3701950,37,1,0.000,10.000,-1.000,-1.000
370078002082,2017,370078002082,3700780,37,1,-2.000,3.000,-1.000,-1.000
370006202393,2017,370006202393,3700062,37,0,-1.000,37.000,-1.000,-1.000
370472002683,2017,370472002683,3704720,37,99,0.000,3.000,-1.000,-1.000
370297002166,2017,370297002166,3702970,37,4,-1.000,-1.000,-1.000,-1.000
370297002167,2017,370297002167,3702970,37,0,-1.000,10.000,-1.000,-1.000
370327003272,2017,370327003272,3703270,37,4,-1.000,-1.000,-1.000,-1.000
370039403360,2017,370039403360,3700394,37,0,-1.000,33.000,-1.000,-1.000
370331000382,2017,370331000382,3703310,37,4,-1.000,-1.000,-1.000,-1.000
370063000257,2017,370063000257,3700630,37,99,0.000,12.000,-1.000,-1.000
370472001906,2017,370472001906,3704720,37,99,-2.000,101.000,-1.000,-1.000
370472001902,2017,370472001902,3704720,37,0,-1.000,122.000,-1.000,-1.000
370234001002,2017,370234001002,3702340,37,99,-2.000,45.000,-1.000,-1.000
370237003395,2017,370237003395,3702370,37,4,-1.000,-1.000,-1.000,-1.000
370150002378,2017,370150002378,3701500,37,1,-2.000,25.000,-1.000,-1.000
370297002676,2017,370297002676,3702970,37,0,-1.000,14.000,-1.000,-1.000
370013102681,2017,370013102681,3700131,37,4,-1.000,-1.000,-1.000,-1.000
370306003438,2017,370306003438,3703060,37,4,-1.000,-1.000,-1.000,-1.000
370150000601,2017,370150000601,3701500,37,2,-1.000,0.000,-1.000,-1.000
370393002245,2017,370393002245,3703930,37,0,-1.000,191.000,-1.000,-1.000
370348002313,2017,370348002313,3703480,37,0,-1.000,18.000,-1.000,-1.000
370210000915,2017,370210000915,3702100,37,4,-1.000,-1.000,-1.000,-1.000
370096000368,2017,370096000368,3700960,37,4,-1.000,-1.000,-1.000,-1.000
370045002508,2017,370045002508,3700450,37,0,-1.000,12.000,-1.000,-1.000
370011902579,2017,370011902579,3700119,37,0,-1.000,22.000,-1.000,-1.000
370294002809,2017,370294002809,3702940,37,2,-1.000,0.000,-1.000,-1.000
370472002356,2017,370472002356,3704720,37,4,-1.000,-1.000,-1.000,-1.000
370472002414,2017,370472002414,3704720,37,0,-1.000,4.000,-1.000,-1.000
370297001221,2017,370297001221,3702970,37,2,-1.000,18.000,-1.000,-1.000
370237001026,2017,370237001026,3702370,37,1,0.000,38.000,-1.000,-1.000
370024000065,2017,370024000065,3700240,37,0,-1.000,4.000,-1.000,-1.000
370331002311,2017,370331002311,3703310,37,2,-1.000,0.000,-1.000,-1.000
370231000992,2017,370231000992,3702310,37,2,-1.000,0.000,-1.000,-1.000
370153000657,2017,370153000657,3701530,37,2,-1.000,0.000,-1.000,-1.000
370150002293,2017,370150002293,3701500,37,99,0.000,6.000,-1.000,-1.000
370192000768,2017,370192000768,3701920,37,2,-1.000,7.000,-1.000,-1.000
370495001983,2017,370495001983,3704950,37,1,0.000,6.000,-1.000,-1.000
370336001404,2017,370336001404,3703360,37,99,0.000,38.000,-1.000,-1.000
370008402454,2017,370008402454,3700084,37,99,-2.000,27.000,-1.000,-1.000
370333001396,2017,370333001396,3703330,37,1,1.000,32.000,-1.000,-1.000
370237003117,2017,370237003117,3702370,37,2,-1.000,0.000,-1.000,-1.000
370327002644,2017,370327002644,3703270,37,0,-1.000,4.000,-1.000,-1.000
370256001076,2017,370256001076,3702560,37,2,-1.000,0.000,-1.000,-1.000
370432001710,2017,370432001710,3704320,37,4,-1.000,-1.000,-1.000,-1.000
370234001001,2017,370234001001,3702340,37,1,0.000,0.000,-1.000,-1.000
370001201504,2017,370001201504,3700012,37,1,-2.000,9.000,-1.000,-1.000
370015702930,2017,370015702930,3700157,37,0,-1.000,0.000,-1.000,-1.000
370261001088,2017,370261001088,3702610,37,99,-2.000,141.000,-1.000,-1.000
370472001854,2017,370472001854,3704720,37,4,-1.000,-1.000,-1.000,-1.000
370333003348,2017,370333003348,3703330,37,4,-1.000,-1.000,-1.000,-1.000
370111000456,2017,370111000456,3701110,37,4,-1.000,-1.000,-1.000,-1.000
370472002222,2017,370472002222,3704720,37,2,-1.000,0.000,-1.000,-1.000
370502001992,2017,370502001992,3705020,37,1,-2.000,8.000,-1.000,-1.000
370037003341,2017,370037003341,3700370,37,2,-1.000,0.000,-1.000,-1.000
370219000948,2017,370219000948,3702190,37,99,0.000,4.000,-1.000,-1.000
370014102927,2017,370014102927,3700141,37,99,-2.000,0.000,-1.000,-1.000
370038503372,2017,370038503372,3700385,37,1,-2.000,9.000,-1.000,-1.000
370462001791,2017,370462001791,3704620,37,1,-2.000,0.000,-1.000,-1.000
370357002046,2017,370357002046,3703570,37,0,-1.000,3.000,-1.000,-1.000
370327001341,2017,370327001341,3703270,37,99,0.000,27.000,-1.000,-1.000
370405002252,2017,370405002252,3704050,37,4,-1.000,-1.000,-1.000,-1.000
370333001371,2017,370333001371,3703330,37,1,-2.000,24.000,-1.000,-1.000
370333002337,2017,370333002337,3703330,37,2,-1.000,0.000,-1.000,-1.000
370357000895,2017,370357000895,3703570,37,4,-1.000,-1.000,-1.000,-1.000
370472001849,2017,370472001849,3704720,37,1,-2.000,116.000,-1.000,-1.000
370331002211,2017,370331002211,3703310,37,4,-1.000,-1.000,-1.000,-1.000
370126002442,2017,370126002442,3701260,37,2,-1.000,0.000,-1.000,-1.000
370472002187,2017,370472002187,3704720,37,99,3.000,26.000,-1.000,-1.000
370234003104,2017,370234003104,3702340,37,99,-2.000,23.000,-1.000,-1.000
370150002518,2017,370150002518,3701500,37,1,0.000,0.000,-1.000,-1.000
370399001067,2017,370399001067,3703990,37,2,-1.000,0.000,-1.000,-1.000
